ring,year,doy,depth,sm
4,2005,175,2,23.4483
4,2005,178,2,18.2925
4,2005,180,2,22.0586
4,2005,184,2,20.3621
4,2005,188,2,19.8363
4,2005,192,2,18.6343
4,2005,194,2,27.8989
4,2005,196,2,26.4506
4,2005,199,2,24.3001
4,2005,201,2,25.5722
4,2005,208,2,31.1944
4,2005,210,2,27.3654
4,2005,213,2,25.154
4,2005,215,2,23.024
4,2005,217,2,21.5822
4,2005,224,2,19.9807
4,2005,228,2,21.007
4,2005,233,2,34.349
4,2005,236,2,31.7296
4,2005,240,2,30.2819
4,2005,243,2,28.6757
4,2005,245,2,27.8353
4,2005,250,2,26.2687
4,2005,254,2,23.3232
4,2005,258,2,23.4103
4,2005,261,2,34.8308
4,2005,264,2,38.3024
4,2005,269,2,44.0023
4,2005,273,2,43.4004
10,2005,159,2,38.09
10,2005,160,2,38.2667
10,2005,161,2,37.9607
10,2005,164,2,38.0661
10,2005,166,2,38.8889
10,2005,168,2,38.2691
10,2005,171,2,37.9148
10,2005,173,2,37.0278
10,2005,175,2,34.7705
10,2005,178,2,30.0665
10,2005,180,2,27.3681
10,2005,184,2,24.861
10,2005,188,2,23.5318
10,2005,192,2,22.8117
10,2005,194,2,24.056
10,2005,196,2,25.2496
10,2005,199,2,24.9831
10,2005,201,2,25.1261
10,2005,208,2,27.2265
10,2005,210,2,26.4357
10,2005,213,2,26.7651
10,2005,215,2,25.2248
10,2005,217,2,24.3279
10,2005,224,2,22.6029
10,2005,228,2,23.0857
10,2005,233,2,34.9981
10,2005,236,2,31.8019
10,2005,240,2,28.7849
10,2005,243,2,26.8181
10,2005,245,2,NA
10,2005,250,2,25.8571
10,2005,254,2,22.8792
10,2005,258,2,22.4634
10,2005,261,2,35.5656
10,2005,264,2,38.9932
10,2005,269,2,42.3543
10,2005,273,2,41.811
11,2005,159,2,37.7041
11,2005,160,2,37.6333
11,2005,161,2,37.321
11,2005,164,2,37.3305
11,2005,166,2,39.163
11,2005,168,2,38.28
11,2005,171,2,37.5881
11,2005,173,2,36.825
11,2005,175,2,35.2981
11,2005,178,2,31.6969
11,2005,180,2,29.2867
11,2005,184,2,27.0573
11,2005,188,2,25.8655
11,2005,192,2,24.6097
11,2005,194,2,25.4161
11,2005,196,2,26.3234
11,2005,199,2,26.024
11,2005,201,2,26.15
11,2005,208,2,29.9266
11,2005,210,2,28.7029
11,2005,213,2,28.677
11,2005,215,2,27.2943
11,2005,217,2,26.4261
11,2005,224,2,24.457
11,2005,228,2,24.6742
11,2005,233,2,34.2959
11,2005,236,2,31.7517
11,2005,240,2,27.6917
11,2005,243,2,26.0068
11,2005,245,2,26.3107
11,2005,250,2,25.2605
11,2005,254,2,22.5171
11,2005,258,2,22.1318
11,2005,261,2,36.3096
11,2005,264,2,39.1837
11,2005,269,2,42.6322
11,2005,273,2,42.0112
1,2005,159,3,37.7925
1,2005,160,3,37.8391
1,2005,161,3,37.5412
1,2005,164,3,37.6255
1,2005,166,3,38.0013
1,2005,168,3,37.8496
1,2005,171,3,37.6173
1,2005,173,3,37.2468
1,2005,175,3,36.5353
1,2005,178,3,35.0581
1,2005,180,3,34.1511
1,2005,184,3,31.778
1,2005,188,3,30.4726
1,2005,192,3,28.9943
1,2005,194,3,28.9843
1,2005,196,3,28.9881
1,2005,199,3,28.9686
1,2005,201,3,29.0755
1,2005,208,3,30.664
1,2005,210,3,30.5911
1,2005,213,3,31.8666
1,2005,215,3,31.6337
1,2005,217,3,31.1012
1,2005,224,3,29.6588
1,2005,228,3,29.2771
1,2005,233,3,35.4052
1,2005,236,3,33.8339
1,2005,240,3,33.4732
1,2005,243,3,33.1846
1,2005,245,3,32.5021
1,2005,250,3,31.4907
1,2005,254,3,29.6935
1,2005,258,3,29.437
1,2005,261,3,34.6681
1,2005,264,3,36.8912
1,2005,269,3,40.4851
1,2005,273,3,39.5127
4,2005,159,3,41.1145
4,2005,160,3,41.0016
4,2005,161,3,41.2225
4,2005,164,3,40.8744
4,2005,166,3,41.27
4,2005,168,3,41.0167
4,2005,171,3,40.7622
4,2005,173,3,40.1042
4,2005,175,3,37.8091
4,2005,178,3,33.4375
4,2005,180,3,36.6859
4,2005,184,3,31.0156
4,2005,188,3,28.4376
4,2005,192,3,26.2596
4,2005,194,3,34.7207
4,2005,196,3,33.2136
4,2005,199,3,31.2168
4,2005,201,3,32.0575
4,2005,208,3,36.8715
4,2005,210,3,35.3866
4,2005,213,3,33.6901
4,2005,215,3,31.2766
4,2005,217,3,29.9045
4,2005,224,3,27.1713
4,2005,228,3,27.8977
4,2005,233,3,41.0609
4,2005,236,3,41.0831
4,2005,240,3,39.878
4,2005,243,3,38.8494
4,2005,245,3,36.747
4,2005,250,3,34.5367
4,2005,254,3,34.1371
4,2005,258,3,34.3091
4,2005,261,3,42.8878
